Section,Technique,Step #,Step Text
Neutral position,Same-side Wrist Grip Break,Step 1,Palm to mat
Neutral position,Same-side Wrist Grip Break,Step 2,Bend elbow so thumb points toward opposite hip
Neutral position,Same-side Wrist Grip Break,Step 3,"Once at center line, opposite hand C-grips their wrist to break grip (thumb up)"
Neutral position,Same-side Wrist Grip Break,Step 4,First hand C-Grips as well to make 2-on-1
Neutral position,Same-side Sleeve Grip Break,Step 1,Palm to mat
Neutral position,Same-side Sleeve Grip Break,Step 2,Rip hand to your far shoulder; elbow through opponent's knuckles 
Neutral position,Same-side Lapel Grip Break,Step 1,"4-Finger grip (same-side, palm up) underneath their gripping wrist and pressure down and in"
Neutral position,Same-side Lapel Grip Break,Step 2,Far hand over-hand grip break at wrist
Neutral position,Same-side Lapel Grip Break,Step 3,Finish at baseball bat 2-on-1
Neutral position,Engage Grips and Move/Rotate In Stance,Step 1,Back-leg hand thumb/palm down c-grip same side wrist; stuff into belt line
Neutral position,Engage Grips and Move/Rotate In Stance,Step 2,Front leg hand gets same-side lapel and pulls
Neutral position,Engage Grips and Move/Rotate In Stance,Step 3,"Push/pull with grips and rotate toward back leg. Back-leg moves first; shuffle, don't cross"
Neutral position,Double Leg Takedown 1,Step 1,Back-leg hand thumb/palm down c-grip same side hand
Neutral position,Double Leg Takedown 1,Step 2,Front leg hand gets same-side lapel
Neutral position,Double Leg Takedown 1,Step 3,Circle toward back leg
Neutral position,Double Leg Takedown 1,Step 4,"Once opponent steps with their back leg, change levels and put front knee down between legs with back leg stepping into lunge. Put shoulder to chest with hands clasped around butt"
Neutral position,Double Leg Takedown 1,Step 5,Head stays up and looks toward far shoulder; drive laterally
Neutral position,Outside Single,Step 1,Back-leg hand thumb/palm down c-grip same side hand
Neutral position,Outside Single,Step 2,Front leg hand gets same-side lapel
Neutral position,Outside Single,Step 3,Circle toward back leg
Neutral position,Outside Single,Step 4,"Once opponent steps with their back leg, change levels and continue to put front knee down outside of leg with back leg in lunge; End at 90° to opponent"
Neutral position,Outside Single,Step 5,Shoulder into thigh with hand hugging closest leg and maintaining same side lapel grip
Neutral position,Outside Single,Step 6,"Drive in as opponent makes leg light; lift at base of ankle with hugging hand, not at groin. Hands come together on single leg in your groin. Head into ribs."
Neutral position,Outside Single,Step 7,"Bear hug legs, snap/pop feet back and swivel back with outside leg"
Neutral position,Pulling Guard,Step 1,"Pull down on lapel as you put back leg into their hip and fall to your butt, naturally rotating"
Neutral position,Pulling Guard,Step 2,"Bring other leg to their hip, bridge up and close guard"
Basic Passing,Guard Open 1 (from knees),Step 1,Double cat-paw pants grip at waist
Basic Passing,Guard Open 1 (from knees),Step 2,Hips forward to bring elbows inside
Basic Passing,Guard Open 1 (from knees),Step 3,"One knee into middle, other opens and hips point to 45°. Butt drops to heels and guard opens"
Basic Passing,Guard Open 2 (leg posts),Step 1,Double cat-paw pants grip at waist
Basic Passing,Guard Open 2 (leg posts),Step 2,Hips forward to bring elbows inside
Basic Passing,Guard Open 2 (leg posts),Step 3,"One knee into middle, other opens steps out as a post with hips pointing to 45°"
Basic Passing,Guard Open 2 (leg posts),Step 4,Back-leg hand to middle of pants pushing down as back leg swivels back
Basic Passing,Guard Open 2 (leg posts),Step 5,Push down and step over
Basic Passing,Guard Open 3 (from feet),Step 1,Double chest lapel with one hand (rotate knuckles to their face)
Basic Passing,Guard Open 3 (from feet),Step 2,Grab same-side sleeve (cat-paw) and punch across toward stomach
Basic Passing,Guard Open 3 (from feet),Step 3,"Step up into wide deadlift standing position, holding sleeve"
Basic Passing,Passing Half Guard with Knee Shield,Step 1,Backside belt and front side lapel grip pulling in
Basic Passing,Passing Half Guard with Knee Shield,Step 2,Step up back leg and walk it up while driving hips forward
Basic Passing,Passing Half Guard with Knee Shield,Step 3,Drop knee-shield side leg down to knee and knee shield is now gone (1/2 guard). Belt grip elbow blocks knee from coming back in
Basic Passing,Passing Half Guard with Knee Shield,Step 4,"Opponent has two hands on lapel grip shoulder. Release lapel grip, come inside opponent's hands and cross face behind head (grab far lat) as you go chest to chest"
Basic Passing,Passing Half Guard with Knee Shield,Step 5,"Release belt grip and grab hip, using elbow to open up knee shield leg toward mat. Push leg down and knee cut over"
Basic Passing,Passing Half Guard with Knee Shield,Step 6,Opponent has frame across face. Push their elbow up and fence head inside while grabbing underhook and connecting hands
Basic Passing,Passing Half Guard with Knee Shield,Step 7,Head-Arm hand wraps to otherside of head and head flips to far side (ear-to-ear)
Basic Passing,Passing Half Guard with Knee Shield,Step 8,Far hand posts and you tripod up (weight into their chin) and knee cut across
Basic Passing,Passing Half Guard with Knee Shield,Step 9,"Control inside arm and push their leg with yours, moving into side control"
Basic Passing,Passing Knee Shield to HQ,Step 1,Inside hand grabs pants at knee and pulls up; top hand on hip
Basic Passing,Passing Knee Shield to HQ,Step 2,Outside leg pops up to foot and knee inside of opponent's leg
Basic Passing,Passing Knee Shield to HQ,Step 3,Waist hand arm stays inside knee shield leg; back leg pops up to foot
Basic Passing,Passing Knee Shield to HQ,Step 4,Waist hand slide up to underhook and back hand goes to crossface
Basic Passing,Passing Knee Shield to HQ,Step 5,Knee cut (kick leg out if needed) into side control
Basic Passing,Knee Cut Pass - No Underhook,Step 1,Inside hand grabs lapel and pulls their shoulder off ground; outside hand to ankle/pant leg
Basic Passing,Knee Cut Pass - No Underhook,Step 2,Pull in on lapel to block knee shield and push ankle to mat while stepping out
Basic Passing,Knee Cut Pass - No Underhook,Step 3,Opponent double frames on outside shoulder. Grab tricep and knee cut whiling driving up to collapse their frame
Basic Passing,Knee Cut Pass - No Underhook,Step 4,Pivot on knee cut knee to face opponent at 90°
Basic Passing,Body Lock Pass,Step 1,"Push opponents head to side so they have to post/shift onto 1 butt cheek. OR, thumbs to their pinkys and palms to knuckles and turn down so opponent opens up arms"
Basic Passing,Body Lock Pass,Step 2,"Shoot arms in and go forehead to shoulder, lock hands and pull opponent in (rather than drive forward)"
Basic Passing,Body Lock Pass,Step 3,Head to chest in butterfly. Open hip / shoot leg back to clear hook and go 2-on-1 with thighs pinning their leg
Basic Passing,Body Lock Pass,Step 4,Elbow pushes down on knee while fire hydranting leg over knee so it is in your groin
Basic Passing,Body Lock Pass,Step 5,Weight on opposite shoulder; use inside knee as you tripod up to clear their knee. Table their knee off to side like you are going into mount (collapse their knee downward)
After the Pass,Pin Flow > Kesa Gatame,Step 1,Bottom arm comes across to underhook
After the Pass,Pin Flow > Kesa Gatame,Step 2,"Top arm comes to sleeve, pressure into chest to create space to pull up their underhook, and flip hips toward their head into Kesa"
After the Pass,Pin Flow > Kesa Gatame,Step 3,Scissor legs with inside leg flat and out parrallel to his spine
After the Pass,Pin Flow > Kesa Gatame,Step 4,Scissor back to 4 points with sleeve grip/top thigh driving his arm above his head and maintaining far underhook; let go of sleeve and bring hand to far side back to 4 points
After the Pass,Kimura from Side Control,Step 1,"Bring crossface hand over top, scoop their far elbow up with underhook, and replace with top hand under"
